,VideoID,Link,Transcribed,Duration
69,5Uxg9-mIGX8,https://www.youtube.com/watch?v=5Uxg9-mIGX8,0,3:51
70,5v5wGN5ujic,https://www.youtube.com/watch?v=5v5wGN5ujic,0,1:21
71,5vixelf0Fuc,https://www.youtube.com/watch?v=5vixelf0Fuc,0,6:57
72,63BawpxUrXk,https://www.youtube.com/watch?v=63BawpxUrXk,0,4:5
73,6CkXDg1hmRc,https://www.youtube.com/watch?v=6CkXDg1hmRc,0,12:4
74,6SYIuhm56mI,https://www.youtube.com/watch?v=6SYIuhm56mI,0,7:19
75,6W-vX3thBgg,https://www.youtube.com/watch?v=6W-vX3thBgg,0,6:42
76,6YyLXIwIu-Q,https://www.youtube.com/watch?v=6YyLXIwIu-Q,0,2:17
77,7_KrH_9VGmw,https://www.youtube.com/watch?v=7_KrH_9VGmw,0,2:8
78,733AG8LtWvk,https://www.youtube.com/watch?v=733AG8LtWvk,0,2:22
79,7fRFuz2EMnU,https://www.youtube.com/watch?v=7fRFuz2EMnU,0,6:40
80,7jpWtFJ-uvk,https://www.youtube.com/watch?v=7jpWtFJ-uvk,0,4:12
81,7PWNEv2qI9c,https://www.youtube.com/watch?v=7PWNEv2qI9c,0,1:26
82,8_NFRDQrPpE,https://www.youtube.com/watch?v=8_NFRDQrPpE,0,3:48
83,8bVHgY4doDo,https://www.youtube.com/watch?v=8bVHgY4doDo,0,4:34
84,8DopHhLNZ5Y,https://www.youtube.com/watch?v=8DopHhLNZ5Y,0,1:12
85,8OAnyTVQ4vc,https://www.youtube.com/watch?v=8OAnyTVQ4vc,0,5:31
86,8oCpVUj840E,https://www.youtube.com/watch?v=8oCpVUj840E,0,1:32
87,8rrLyYywwPc,https://www.youtube.com/watch?v=8rrLyYywwPc,0,2:20
88,8SAWknl-e8E,https://www.youtube.com/watch?v=8SAWknl-e8E,0,1:56
89,93_vxt3GDHA,https://www.youtube.com/watch?v=93_vxt3GDHA,0,1:37
90,9aF65t9Qkjg,https://www.youtube.com/watch?v=9aF65t9Qkjg,0,2:33:3
91,9AoKgDyN1uY,https://www.youtube.com/watch?v=9AoKgDyN1uY,0,11:1
92,9cy_Mt7Ces8,https://www.youtube.com/watch?v=9cy_Mt7Ces8,0,6:6
93,9dXVH2omvnU,https://www.youtube.com/watch?v=9dXVH2omvnU,0,2:30
94,9H0vbRJ2xdQ,https://www.youtube.com/watch?v=9H0vbRJ2xdQ,0,1:31:48
95,9hWIcpYenzs,https://www.youtube.com/watch?v=9hWIcpYenzs,0,6:24
96,9JXgb23tkvQ,https://www.youtube.com/watch?v=9JXgb23tkvQ,0,8:8
97,9Pquyw7kVTM,https://www.youtube.com/watch?v=9Pquyw7kVTM,0,6:36
98,9pUaOAphN5s,https://www.youtube.com/watch?v=9pUaOAphN5s,0,2:8
99,9wxU26imCDU,https://www.youtube.com/watch?v=9wxU26imCDU,0,14:59
100,A_H3mNLX8Xc,https://www.youtube.com/watch?v=A_H3mNLX8Xc,0,2:2:9
101,A0-Ri5Rciow,https://www.youtube.com/watch?v=A0-Ri5Rciow,0,2:53
102,a1cwTADqt9A,https://www.youtube.com/watch?v=a1cwTADqt9A,0,30
103,A8HRUwihTg0,https://www.youtube.com/watch?v=A8HRUwihTg0,0,5:45
104,A8ugf6olz3M,https://www.youtube.com/watch?v=A8ugf6olz3M,0,7:24
105,AagqaAQebKk,https://www.youtube.com/watch?v=AagqaAQebKk,0,25:33
106,ab16_RHzTL4,https://www.youtube.com/watch?v=ab16_RHzTL4,0,31
107,AChfeejGudE,https://www.youtube.com/watch?v=AChfeejGudE,0,2:15
108,ADSTTEQpFSA,https://www.youtube.com/watch?v=ADSTTEQpFSA,0,11:35
109,AdVv0YR4Ewk,https://www.youtube.com/watch?v=AdVv0YR4Ewk,0,4:46
110,AHvsOf_V3jw,https://www.youtube.com/watch?v=AHvsOf_V3jw,0,2:59
